district,total_listings,ao_count,median_revpar_ao,dormant_count,superhost_rate,median_pop,dormant_ratio,supply_share,cluster,cluster_rank,cluster_name
Dobong-gu,183,71,34427.7,112,0.4644808743169399,258262.0,0.6120218579234973,0.0057078693740058,0,1,프리미엄 비즈니스
Dongdaemun-gu,862,337,26403.1,519,0.3294663573085847,362689.0,0.6020881670533643,0.0268862480895792,1,3,가성비 신흥형
Dongjak-gu,806,242,25835.75,555,0.2679900744416873,379647.0,0.6885856079404467,0.0251395776800474,1,3,가성비 신흥형
Eunpyeong-gu,376,189,33778.1,186,0.3696808510638298,422863.0,0.4946808510638298,0.0117276441782851,2,2,로컬 주거형
Gangbuk-gu,262,122,29734.4,137,0.5229007633587787,267641.0,0.5229007633587787,0.0081719222731667,2,2,로컬 주거형
Gangdong-gu,351,198,36543.9,152,0.5982905982905983,528144.0,0.433048433048433,0.0109478806026012,2,2,로컬 주거형
Gangnam-gu,3097,1178,53051.6,1905,0.3580884727155312,863150.0,0.6151113981272199,0.0965971117557156,3,0,핫플 수익형
Gangseo-gu,738,361,30328.0,373,0.4715447154471545,546936.0,0.505420054200542,0.0230186207541873,2,2,로컬 주거형
Geumcheon-gu,147,33,26423.3,113,0.3401360544217687,229786.0,0.7687074829931972,0.004585009825021,1,3,가성비 신흥형
Guro-gu,280,118,29149.5,157,0.3642857142857142,414688.0,0.5607142857142857,0.0087333520476591,1,3,가성비 신흥형
Gwanak-gu,1165,476,25953.35,681,0.3639484978540772,470739.0,0.5845493562231759,0.0363369826268675,1,3,가성비 신흥형
Gwangjin-gu,816,414,44277.55,400,0.4877450980392157,373225.0,0.4901960784313725,0.0254514831103209,2,2,로컬 주거형
Jongno-gu,2640,1416,54514.55,1217,0.4166666666666667,302528.0,0.4609848484848485,0.0823430335922148,3,0,핫플 수익형
Jung-gu,3589,1704,52939.0,1868,0.3948174979102814,315657.0,0.5204792421287266,0.1119428589251738,3,0,핫플 수익형
Jungnang-gu,144,48,34793.25,96,0.5486111111111112,335209.0,0.6666666666666666,0.0044914381959389,0,1,프리미엄 비즈니스
Mapo-gu,6699,3270,63365.5,3396,0.4597701149425287,467351.0,0.5069413345275414,0.2089454477402451,3,0,핫플 수익형
Nowon-gu,194,75,39073.9,116,0.4432989690721649,466409.0,0.5979381443298969,0.0060509653473066,0,1,프리미엄 비즈니스
Seocho-gu,1596,606,50898.85,981,0.3840852130325815,588202.0,0.6146616541353384,0.0497801066716571,0,1,프리미엄 비즈니스
Seodaemun-gu,1754,699,34261.2,1044,0.3312428734321551,385503.0,0.5952109464082098,0.0547082124699791,1,3,가성비 신흥형
Seongbuk-gu,632,290,35789.399999999994,337,0.4477848101265823,427001.0,0.5332278481012658,0.0197124231932877,2,2,로컬 주거형
Seongdong-gu,579,238,53493.85,341,0.4559585492227979,353653.0,0.5889464594127807,0.018059324412838,0,1,프리미엄 비즈니스
Songpa-gu,1034,403,49550.5,624,0.4410058027079304,744624.0,0.6034816247582205,0.0322510214902841,0,1,프리미엄 비즈니스
Yangcheon-gu,196,99,35881.1,94,0.3877551020408163,364347.0,0.4795918367346938,0.0061133464333614,2,2,로컬 주거형
Yeongdeungpo-gu,1051,424,38798.55,613,0.4081826831588963,516461.0,0.5832540437678402,0.0327812607217491,0,1,프리미엄 비즈니스
Yongsan-gu,2870,1388,58082.8,1470,0.3898954703832752,293254.0,0.5121951219512195,0.0895168584885062,3,0,핫플 수익형
