기준년월,시군구명,총생활인구수,내국인생활인구수,단기체류외국인인구수,주간인구수,야간인구수
2024-10,강남구,855767,817281,19404,997013,754877
2024-10,강동구,509622,499996,1013,479207,531348
2024-10,강북구,270186,263229,738,250112,284525
2024-10,강서구,545197,528280,7795,532979,553925
2024-10,관악구,471192,449657,2364,427747,502225
2024-10,광진구,380824,356515,2054,370041,388526
2024-10,구로구,411528,378629,3099,401441,418733
2024-10,금천구,229144,212130,1519,239965,221414
2024-10,노원구,471212,465135,728,444035,490623
2024-10,도봉구,258830,255515,394,239728,272474
2024-10,동대문구,369728,343197,2936,364933,373154
2024-10,동작구,385278,370037,1551,360529,402956
2024-10,마포구,473124,436640,17473,498975,454659
2024-10,서대문구,392414,357983,12773,404436,383826
2024-10,서울시,10713615,10168512,168449,10952120,10543254
2024-10,서초구,584221,562843,7419,670050,522915
2024-10,성동구,354752,336392,3807,370669,343383
2024-10,성북구,431264,414163,1637,407898,447954
2024-10,송파구,742734,724266,5425,749910,737607
2024-10,양천구,364387,358889,660,340632,381356
2024-10,영등포구,517461,472753,8009,567027,482056
2024-10,용산구,296931,271877,10239,324140,277496
2024-10,은평구,423078,415768,1293,381348,452885
2024-10,종로구,314681,282021,15898,397590,255460
2024-10,중구,325297,266822,39617,425939,253410
2024-10,중랑구,334764,328493,605,305777,355469
2024-11,강남구,870189,831084,19706,1021241,762295
2024-11,강동구,513229,503572,1013,481281,536049
2024-11,강북구,269944,262995,749,249750,284369
2024-11,강서구,549554,532592,7818,538353,557554
2024-11,관악구,470488,449059,2163,426203,502121
2024-11,광진구,380625,356438,2038,368712,389135
2024-11,구로구,418220,384845,3608,410207,423944
2024-11,금천구,231500,214496,1491,243709,222780
2024-11,노원구,470121,464130,642,443408,489202
2024-11,도봉구,257958,254687,355,238868,271593
2024-11,동대문구,370111,343287,3022,366046,373015
2024-11,동작구,384292,369181,1516,359088,402294
2024-11,마포구,474046,438217,16811,498945,456261
2024-11,서대문구,394392,359320,12997,407574,384977
2024-11,서울시,10759458,10216025,165791,11019986,10573366
2024-11,서초구,592545,571285,7104,685027,526487
2024-11,성동구,356227,337663,4128,372718,344448
2024-11,성북구,429784,412374,1549,405945,446812
