관광지명,주소,타입,경도,위도,firstimage,tel
가나돈까스의집,서울특별시 강남구 언주로 608,39,127.0377755568,37.5099674377,http://tong.visitkorea.or.kr/cms/resource/08/2871008_image2_1.JPG,
가나아트센터,서울특별시 종로구 평창30길 28,14,126.9751811398,37.6122099878,http://tong.visitkorea.or.kr/cms/resource/11/3506711_image2_1.jpg,
가담,서울특별시 강남구 언주로167길 35 (신사동),39,127.0302729961,37.5264209476,http://tong.visitkorea.or.kr/cms/resource/53/2869753_image2_1.jpg,
가든파이브라이프(Garden5life),서울특별시 송파구 충민로 66 (문정동),38,127.1249768726,37.4776672007,http://tong.visitkorea.or.kr/cms/resource/20/3499620_image2_1.jpg,
가락골마산아구찜,서울특별시 송파구 송이로19길 3,39,127.1217599348,37.4975120620,,
가락농수산물종합도매시장,서울특별시 송파구 양재대로 932 (가락동),38,127.1107693087,37.4960786971,http://tong.visitkorea.or.kr/cms/resource/37/3568037_image2_1.jpg,02-3435-1000
가락몰,서울특별시 송파구 양재대로 932 (가락동),38,127.1107693087,37.4960786971,http://tong.visitkorea.or.kr/cms/resource/56/3467156_image2_1.jpg,
가락몰 빵축제 전국빵지자랑,서울특별시 송파구 양재대로 932 (가락동),15,127.1107693087,37.4960786971,http://tong.visitkorea.or.kr/cms/resource/91/3484791_image2_1.jpg,02-3435-0286
가락수산시장,서울특별시 송파구 양재대로 932 (가락동),38,127.1107693087,37.4960786971,http://tong.visitkorea.or.kr/cms/resource/34/3567934_image2_1.jpg,
가락옥토버페스트 미식야행,서울특별시 송파구 양재대로 932 (가락동),15,127.1107693087,37.4960786971,http://tong.visitkorea.or.kr/cms/resource/73/3553073_image2_1.png,02-3435-0455
가람화랑,서울특별시 종로구 인사동10길 11 (관훈동),14,126.9856284839,37.5743368010,http://tong.visitkorea.or.kr/cms/resource/36/3505536_image2_1.jpg,
가리봉시장,서울특별시 구로구 우마3길 19,38,126.8893759759,37.4817874979,http://tong.visitkorea.or.kr/cms/resource/06/3589406_image2_1.jpg,
가막골흑염소요리전문점,서울특별시 강서구 화곡로56길 37-11,39,126.8518857611,37.5516842628,http://tong.visitkorea.or.kr/cms/resource/29/2849629_image2_1.jpg,
가문,서울특별시 강북구 노해로 13,39,127.0226983297,37.6368246468,,02-990-0107
가미성형외과,서울특별시 강남구 테헤란로105 13층,38,127.0285433827,37.4987019129,http://tong.visitkorea.or.kr/cms/resource/44/2879844_image2_1.jpg,
가버 현대가든파이브,서울특별시 송파구 충민로66 2층,38,127.1249768726,37.4776672007,,
가버 현대동대문,서울특별시 중구 장충단로13길 20,38,127.0076821872,37.5687878415,http://tong.visitkorea.or.kr/cms/resource/04/2889704_image2_1.jpg,
가산물갈비&백년불고기,서울특별시 금천구 가산디지털1로 128 에스티엑스브이타워,39,126.8837682791,37.4773045854,http://tong.visitkorea.or.kr/cms/resource/60/2836560_image2_1.jpg,
가야밀냉면해물칼국수,서울특별시 은평구 대서문길 36 (진관동),39,126.9485378950,37.6555794652,http://tong.visitkorea.or.kr/cms/resource/70/2873170_image2_1.jpg,
가양칼국수버섯매운탕,서울특별시 영등포구 국제금융로 78 (여의도동),39,126.9313127207,37.5209253677,http://tong.visitkorea.or.kr/cms/resource/00/2850200_image2_1.jpg,
"가을 , 명동으로",서울특별시 중구 퇴계로 지하126 (충무로2가),15,126.9859593880,37.5609633613,http://tong.visitkorea.or.kr/cms/resource/65/3559865_image2_1.png,02-2277-8971
"가정의 달, 싱글을 위한 혼자 먹는 밥상 코스",,25,127.0494329104,37.5071013134,http://tong.visitkorea.or.kr/cms/resource/70/2382970_image2_1.jpg,
가조쿠,서울특별시 성동구 연무장길 31-2 (성수동2가),39,127.0531343258,37.5432832891,http://tong.visitkorea.or.kr/cms/resource/12/2901212_image2_1.jpg,
가족천하 본점,서울특별시 영등포구 가마산로 330 (대림동),39,126.8963415265,37.4989023017,,
가회동성당,서울특별시 종로구 북촌로 57 (가회동),12,126.9846616856,37.5820858828,http://tong.visitkorea.or.kr/cms/resource/09/3303909_image2_1.jpg,
가회민화박물관,서울특별시 종로구 북촌로 52 (가회동),14,126.9852783115,37.5815442900,http://tong.visitkorea.or.kr/cms/resource/90/3355090_image2_1.png,
각시보쌈,서울특별시 마포구 성지길 25 보광빌딩,39,126.9134774828,37.5475858397,http://tong.visitkorea.or.kr/cms/resource/51/2853851_image2_1.jpg,
간격 드로잉스페이스,서울특별시 마포구 월드컵로23길 20 망원빌,38,126.9077277407,37.5570179737,http://tong.visitkorea.or.kr/cms/resource/16/2989016_image2_1.jpg,
간데메공원,서울특별시 동대문구 서울시립대로2길 59 (답십리동),12,127.0490783005,37.5728353382,http://tong.visitkorea.or.kr/cms/resource/80/3505480_image2_1.jpg,
간송미술관(서울 보화각),서울특별시 성북구 성북로 102-11 (성북동),14,126.9973796423,37.5936764304,http://tong.visitkorea.or.kr/cms/resource/43/3464643_image2_1.jpg,
간송옛집,서울특별시 도봉구 시루봉로 149-18 (방학동),12,127.0282025819,37.6649464754,http://tong.visitkorea.or.kr/cms/resource/81/3483081_image2_1.jpg,
갈비명가이상 돈암본관,서울특별시 성북구 정릉로 364,39,127.0236686891,37.6015259912,http://tong.visitkorea.or.kr/cms/resource/42/2836642_image2_1.jpg,
갈비사랑,서울특별시 서초구 강남대로 204 (양재동),39,127.0367458713,37.4825317160,http://tong.visitkorea.or.kr/cms/resource/58/2860758_image2_1.jpg,
