,superhost,instant_book,bedrooms_group,baths_group,guests_group,min_nights,extra_guest_fee_policy,rating_overall,photos_count,num_reviews,nearest_poi_dist_km,district_listing_count,district_superhost_rate,district_operating_rate,district_entire_home_rate,ttm_pop,photos_tier,review_rate,poi_dist_category,room_type_hotel_room,room_type_private_room,room_type_shared_room,nearest_poi_type_name_레포츠,nearest_poi_type_name_문화시설,nearest_poi_type_name_쇼핑,nearest_poi_type_name_숙박,nearest_poi_type_name_여행코스,nearest_poi_type_name_음식점,nearest_poi_type_name_축제공연행사
15323,0,1,5,6,5,1,0,4.7,27,23,0.081,1754,0.3312428734321551,0.8825541619156214,0.4931584948688711,385503,2,0.247112540992613,0,False,True,False,False,False,True,False,False,False,False
9581,1,0,5,6,5,4,1,4.82,11,71,0.364,1754,0.3312428734321551,0.8825541619156214,0.4931584948688711,385503,0,0.2500264103601562,1,False,False,False,False,True,False,False,False,False,False
4351,1,0,5,6,4,0,0,4.93,59,44,0.093,1165,0.3639484978540772,0.9313304721030042,0.7399141630901288,470739,3,0.2211888891733623,0,False,False,False,False,False,False,False,False,False,True
14333,1,0,5,6,5,28,0,5.0,28,11,0.187,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,2,0.0429914210892798,0,False,True,False,False,True,False,False,False,False,False
17036,0,1,5,6,5,10,1,4.85,47,94,0.335,862,0.3294663573085847,0.8897911832946636,0.5359628770301624,362689,3,2.8614915415071067,1,False,False,False,False,False,True,False,False,False,False
3939,0,0,5,6,4,1,0,4.71,10,17,0.044,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,0,0.0966293406660072,0,False,False,False,False,False,False,False,False,True,False
8579,0,1,5,6,5,3,0,4.24,42,17,0.019,376,0.3696808510638298,0.922872340425532,0.7207446808510638,422863,3,0.096031633407532,0,False,False,False,False,False,True,False,False,False,False
6357,0,1,5,6,5,1,1,4.71,28,65,0.05,1754,0.3312428734321551,0.8825541619156214,0.4931584948688711,385503,2,0.2195834663122359,0,False,True,False,False,False,False,False,False,True,False
11567,1,1,5,6,5,1,0,4.85,17,61,0.477,196,0.3877551020408163,0.8928571428571429,0.7908163265306123,364347,1,1.1769245383576203,1,False,False,False,False,False,False,False,False,False,True
3042,1,0,5,6,5,1,0,4.38,13,123,0.031,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,0,0.4898056686452466,0,False,False,False,False,False,False,False,False,False,False
3788,1,1,5,6,5,1,0,4.67,72,36,0.21,1596,0.3840852130325815,0.8771929824561403,0.781328320802005,588202,3,0.1179786323720959,0,False,False,False,False,False,False,False,False,False,True
1097,1,0,5,6,5,4,0,4.97,42,58,0.135,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.2006365013123131,0,False,False,False,False,False,False,False,False,True,False
