cluster,cluster_name,district,num_reviews,rating_overall,photos_count,instant_book,min_nights,extra_guest_fee_policy,nearest_poi_dist_km,bedrooms,baths
2,가성비 신흥형,Seodaemun-gu,18,5.0,40,False,3,0,0.185,10,6.0
3,프리미엄 비즈니스,Jung-gu,4,5.0,74,False,3,0,0.116,10,6.0
3,프리미엄 비즈니스,Jongno-gu,107,4.98,137,True,2,0,0.037,3,3.0
1,로컬 주거형,Seongdong-gu,30,5.0,42,False,3,0,0.224,2,2.0
3,프리미엄 비즈니스,Jongno-gu,169,4.92,11,False,1,0,0.096,2,1.0
3,프리미엄 비즈니스,Jung-gu,5,5.0,99,False,3,0,0.024,10,6.0
0,핫플 수익형,Mapo-gu,27,4.85,145,False,3,0,0.021,5,4.0
3,프리미엄 비즈니스,Jongno-gu,80,4.86,51,True,1,0,0.019,3,2.0
3,프리미엄 비즈니스,Jongno-gu,84,4.79,13,True,1,0,0.059,3,3.0
3,프리미엄 비즈니스,Jongno-gu,69,4.9,84,True,1,0,0.04,2,2.0
3,프리미엄 비즈니스,Jung-gu,7,5.0,60,False,3,0,0.053,8,8.0
3,프리미엄 비즈니스,Jongno-gu,58,4.97,89,True,2,0,0.051,3,3.0
3,프리미엄 비즈니스,Jung-gu,34,4.91,12,True,1,0,0.024,3,2.0
3,프리미엄 비즈니스,Jung-gu,37,4.97,59,False,3,0,0.066,5,3.0
2,가성비 신흥형,Seodaemun-gu,29,4.9,64,False,3,0,0.335,10,7.0
3,프리미엄 비즈니스,Yongsan-gu,65,4.8,68,False,1,0,0.082,4,2.0
3,프리미엄 비즈니스,Jongno-gu,69,4.96,69,True,2,0,0.09,3,3.0
3,프리미엄 비즈니스,Jongno-gu,208,4.82,10,True,1,0,0.035,2,2.0
3,프리미엄 비즈니스,Jung-gu,31,4.87,61,False,3,0,0.105,5,3.0
0,핫플 수익형,Mapo-gu,9,5.0,97,True,3,0,0.026,6,4.0
3,프리미엄 비즈니스,Jung-gu,33,4.88,49,False,3,0,0.016,5,3.0
3,프리미엄 비즈니스,Jung-gu,16,4.88,49,False,3,0,0.09,7,7.0
0,핫플 수익형,Mapo-gu,138,4.96,123,True,4,0,0.059,6,4.0
3,프리미엄 비즈니스,Jongno-gu,83,4.95,35,True,1,0,0.016,3,1.0
3,프리미엄 비즈니스,Jung-gu,59,4.71,18,True,1,0,0.051,3,2.0
3,프리미엄 비즈니스,Jongno-gu,59,4.95,70,False,1,0,0.074,2,3.0
0,핫플 수익형,Mapo-gu,55,4.84,103,False,3,0,0.017,3,3.0
2,가성비 신흥형,Seodaemun-gu,83,4.93,34,False,3,0,0.139,5,3.0
3,프리미엄 비즈니스,Jongno-gu,188,4.85,10,False,1,0,0.029,2,2.0
0,핫플 수익형,Mapo-gu,96,4.89,91,False,4,0,0.032,5,4.0
0,핫플 수익형,Mapo-gu,95,4.92,84,True,5,0,0.058,4,3.0
3,프리미엄 비즈니스,Jung-gu,43,4.95,38,False,3,0,0.147,5,5.0
3,프리미엄 비즈니스,Yongsan-gu,430,4.9,104,False,1,0,0.152,4,2.0
0,핫플 수익형,Mapo-gu,25,4.76,70,True,4,0,0.088,6,4.0
3,프리미엄 비즈니스,Jongno-gu,78,4.87,15,True,1,0,0.145,2,1.5
3,프리미엄 비즈니스,Jung-gu,36,4.83,46,True,1,0,0.095,5,4.0
3,프리미엄 비즈니스,Jongno-gu,86,4.9,106,True,1,0,0.055,2,2.0
3,프리미엄 비즈니스,Jongno-gu,95,4.87,18,True,1,0,0.042,2,1.0
3,프리미엄 비즈니스,Yongsan-gu,83,5.0,72,True,4,0,0.087,6,3.0
3,프리미엄 비즈니스,Jung-gu,77,4.86,54,False,1,0,0.126,3,2.0
3,프리미엄 비즈니스,Jongno-gu,168,4.95,12,True,1,0,0.068,2,2.0
3,프리미엄 비즈니스,Jongno-gu,154,4.91,12,True,1,0,0.043,2,2.0
3,프리미엄 비즈니스,Jongno-gu,42,4.9,69,True,1,0,0.016,3,2.5
0,핫플 수익형,Mapo-gu,93,4.87,30,False,3,0,0.034,5,3.0
2,가성비 신흥형,Seodaemun-gu,71,4.96,55,False,3,0,0.123,5,3.0
3,프리미엄 비즈니스,Jongno-gu,161,4.85,86,False,1,0,0.04,4,3.0
3,프리미엄 비즈니스,Jongno-gu,74,4.91,37,True,1,0,0.015,2,1.0
3,프리미엄 비즈니스,Jongno-gu,72,4.99,50,True,1,0,0.065,2,2.5
3,프리미엄 비즈니스,Jongno-gu,161,4.92,11,True,1,0,0.066,2,1.0
3,프리미엄 비즈니스,Jung-gu,205,4.93,92,True,3,0,0.099,3,2.0
2,가성비 신흥형,Seodaemun-gu,91,4.91,74,False,5,0,0.174,6,4.0
1,로컬 주거형,Seongbuk-gu,129,4.95,95,True,3,0,0.117,5,3.0
3,프리미엄 비즈니스,Jung-gu,59,4.81,27,False,3,0,0.12,3,3.0
3,프리미엄 비즈니스,Gangnam-gu,16,4.94,22,True,1,0,0.129,3,1.5
3,프리미엄 비즈니스,Jongno-gu,160,4.83,53,True,1,0,0.027,4,3.0
0,핫플 수익형,Mapo-gu,177,4.83,142,False,1,0,0.065,5,4.0
3,프리미엄 비즈니스,Jongno-gu,313,4.97,75,False,1,0,0.02,4,2.0
3,프리미엄 비즈니스,Gangnam-gu,91,4.92,65,True,3,0,0.062,4,2.0
3,프리미엄 비즈니스,Jongno-gu,155,4.79,22,True,1,0,0.162,3,1.0
3,프리미엄 비즈니스,Jung-gu,35,4.89,47,False,3,0,0.028,5,3.0
3,프리미엄 비즈니스,Jung-gu,62,4.77,71,True,3,0,0.058,7,3.0
3,프리미엄 비즈니스,Jongno-gu,42,4.98,37,False,3,0,0.039,3,2.0
0,핫플 수익형,Mapo-gu,5,4.8,103,True,4,0,0.097,6,4.0
0,핫플 수익형,Mapo-gu,74,4.91,34,True,4,0,0.097,4,2.0
3,프리미엄 비즈니스,Gangnam-gu,150,4.88,46,False,5,0,0.243,2,2.5
0,핫플 수익형,Mapo-gu,143,4.83,142,False,1,0,0.004,5,4.0
0,핫플 수익형,Mapo-gu,56,4.93,27,True,0,0,0.072,2,1.0
3,프리미엄 비즈니스,Jongno-gu,302,4.93,64,False,1,0,0.01,4,4.0
3,프리미엄 비즈니스,Jongno-gu,85,4.84,11,True,1,0,0.015,2,2.0
3,프리미엄 비즈니스,Jongno-gu,112,4.99,106,True,3,0,0.079,3,1.0
3,프리미엄 비즈니스,Gangnam-gu,130,4.82,70,False,1,0,0.134,2,2.0
3,프리미엄 비즈니스,Jongno-gu,130,4.94,10,True,1,0,0.118,2,1.0
3,프리미엄 비즈니스,Gangnam-gu,142,4.82,46,False,3,0,0.105,4,2.5
0,핫플 수익형,Mapo-gu,126,4.96,123,False,4,0,0.019,4,3.0
3,프리미엄 비즈니스,Jongno-gu,225,4.89,52,True,1,0,0.053,2,2.5
3,프리미엄 비즈니스,Jongno-gu,19,4.95,99,True,3,0,0.131,5,3.0
3,프리미엄 비즈니스,Jongno-gu,82,4.83,36,True,1,0,0.061,3,2.0
3,프리미엄 비즈니스,Gangnam-gu,181,4.88,66,False,6,0,0.126,3,2.0
3,프리미엄 비즈니스,Gangnam-gu,136,4.93,118,True,3,0,0.188,3,2.0
0,핫플 수익형,Mapo-gu,25,4.88,42,False,1,0,0.053,4,3.0
3,프리미엄 비즈니스,Jung-gu,17,4.94,18,True,1,0,0.098,3,1.0
3,프리미엄 비즈니스,Jongno-gu,306,4.92,57,True,1,0,0.031,1,1.0
3,프리미엄 비즈니스,Jongno-gu,145,4.94,10,True,1,0,0.04,1,1.0
3,프리미엄 비즈니스,Jongno-gu,427,4.88,47,True,2,0,0.037,5,4.0
0,핫플 수익형,Mapo-gu,217,4.8,181,True,1,0,0.042,6,3.0
0,핫플 수익형,Mapo-gu,30,4.97,35,False,3,0,0.129,6,4.0
3,프리미엄 비즈니스,Jongno-gu,131,4.92,90,False,1,0,0.037,4,3.0
3,프리미엄 비즈니스,Jongno-gu,120,4.91,43,False,1,0,0.08,2,2.0
3,프리미엄 비즈니스,Jung-gu,38,4.92,30,False,2,0,0.136,3,1.0
3,프리미엄 비즈니스,Jung-gu,117,4.93,35,True,1,0,0.05,3,2.0
3,프리미엄 비즈니스,Yongsan-gu,91,4.9,49,True,5,0,0.081,4,2.0
3,프리미엄 비즈니스,Jung-gu,24,4.54,17,True,1,0,0.015,3,2.0
3,프리미엄 비즈니스,Yongsan-gu,42,4.9,94,False,3,0,0.085,10,5.0
3,프리미엄 비즈니스,Jung-gu,50,4.86,58,False,5,0,0.11,3,2.0
0,핫플 수익형,Mapo-gu,73,4.89,32,True,4,0,0.111,4,2.0
3,프리미엄 비즈니스,Jongno-gu,166,4.81,37,False,1,0,0.026,4,3.0
3,프리미엄 비즈니스,Jongno-gu,53,4.72,13,True,1,0,0.054,2,2.0
3,프리미엄 비즈니스,Jongno-gu,38,4.95,66,False,3,0,0.06,3,2.0
3,프리미엄 비즈니스,Jongno-gu,265,4.97,17,False,1,0,0.011,1,1.0
3,프리미엄 비즈니스,Jongno-gu,122,4.89,8,True,1,0,0.028,1,1.0
2,가성비 신흥형,Seodaemun-gu,38,4.89,33,False,3,0,0.388,5,4.0
3,프리미엄 비즈니스,Jung-gu,11,5.0,35,False,2,0,0.126,2,2.0
0,핫플 수익형,Mapo-gu,85,4.96,70,False,5,0,0.049,5,2.5
0,핫플 수익형,Mapo-gu,104,4.95,65,True,5,0,0.055,5,4.0
3,프리미엄 비즈니스,Jung-gu,77,4.86,31,False,3,0,0.035,3,2.0
0,핫플 수익형,Mapo-gu,62,4.94,59,True,1,0,0.038,5,5.0
0,핫플 수익형,Mapo-gu,28,4.71,56,False,1,0,0.096,5,4.0
3,프리미엄 비즈니스,Jongno-gu,259,4.97,87,False,1,0,0.089,2,2.0
3,프리미엄 비즈니스,Jongno-gu,115,4.92,9,True,1,0,0.028,1,1.0
3,프리미엄 비즈니스,Jung-gu,46,4.85,30,False,2,0,0.079,3,2.5
0,핫플 수익형,Mapo-gu,17,4.94,93,False,3,0,0.038,11,7.0
3,프리미엄 비즈니스,Jongno-gu,16,5.0,38,True,4,0,0.169,3,2.5
3,프리미엄 비즈니스,Jongno-gu,31,4.9,90,True,3,0,0.095,5,2.0
3,프리미엄 비즈니스,Jongno-gu,132,4.92,11,False,1,0,0.05,2,1.0
3,프리미엄 비즈니스,Jongno-gu,209,4.82,44,True,1,0,0.039,2,1.0
0,핫플 수익형,Mapo-gu,105,5.0,69,False,2,0,0.104,5,2.0
3,프리미엄 비즈니스,Jung-gu,61,4.9,47,True,3,0,0.16,5,3.0
3,프리미엄 비즈니스,Jung-gu,733,4.9,58,False,1,0,0.068,3,2.0
3,프리미엄 비즈니스,Jung-gu,109,4.9,33,True,1,0,0.08,3,2.0
0,핫플 수익형,Mapo-gu,219,4.93,53,True,5,0,0.048,4,3.0
3,프리미엄 비즈니스,Jongno-gu,52,4.94,9,True,1,0,0.05,1,1.0
0,핫플 수익형,Mapo-gu,148,4.81,28,True,1,0,0.106,6,4.5
3,프리미엄 비즈니스,Yongsan-gu,50,5.0,77,False,1,1,0.031,4,2.0
3,프리미엄 비즈니스,Jongno-gu,164,5.0,147,True,1,0,0.141,3,2.0
3,프리미엄 비즈니스,Jongno-gu,82,4.9,43,True,1,0,0.05,1,1.0
3,프리미엄 비즈니스,Jung-gu,5,5.0,10,True,1,0,0.045,3,1.5
0,핫플 수익형,Mapo-gu,139,4.98,74,False,5,0,0.012,2,1.0
3,프리미엄 비즈니스,Jongno-gu,209,4.97,38,False,1,0,0.151,4,4.0
3,프리미엄 비즈니스,Jongno-gu,75,4.85,13,True,1,0,0.014,1,1.0
1,로컬 주거형,Gwangjin-gu,21,4.9,17,False,2,0,0.106,1,2.0
3,프리미엄 비즈니스,Jongno-gu,66,4.97,46,True,1,0,0.057,3,2.0
1,로컬 주거형,Eunpyeong-gu,1,0.0,32,True,0,0,0.24,4,5.0
3,프리미엄 비즈니스,Jongno-gu,35,4.94,36,True,0,0,0.013,3,3.0
2,가성비 신흥형,Seodaemun-gu,159,4.95,70,False,3,0,0.066,2,1.0
2,가성비 신흥형,Seodaemun-gu,169,4.89,110,True,1,0,0.193,4,2.0
3,프리미엄 비즈니스,Jongno-gu,82,4.96,42,True,1,0,0.093,1,1.0
1,로컬 주거형,Seongbuk-gu,148,4.97,47,True,1,0,0.028,3,2.5
0,핫플 수익형,Mapo-gu,88,4.95,60,True,5,0,0.099,5,4.0
3,프리미엄 비즈니스,Jongno-gu,86,4.79,34,True,1,0,0.039,2,1.0
3,프리미엄 비즈니스,Yongsan-gu,45,5.0,50,True,4,0,0.297,4,2.0
2,가성비 신흥형,Seodaemun-gu,40,4.85,33,False,3,0,0.259,5,3.0
3,프리미엄 비즈니스,Gangnam-gu,26,4.88,52,False,3,0,0.027,3,2.0
3,프리미엄 비즈니스,Jongno-gu,64,4.97,72,False,1,0,0.043,3,2.0
3,프리미엄 비즈니스,Jongno-gu,130,4.62,45,True,5,0,0.037,4,2.0
3,프리미엄 비즈니스,Gangnam-gu,35,4.89,71,True,0,0,0.1,3,2.0
1,로컬 주거형,Seongbuk-gu,16,4.94,99,True,0,0,0.081,6,2.5
3,프리미엄 비즈니스,Yongsan-gu,111,4.96,95,True,4,0,0.077,4,2.0
3,프리미엄 비즈니스,Jongno-gu,159,4.84,9,False,1,0,0.087,1,1.0
3,프리미엄 비즈니스,Jongno-gu,16,4.56,14,True,1,0,0.053,2,1.0
3,프리미엄 비즈니스,Jung-gu,113,4.88,64,False,3,0,0.042,3,3.0
0,핫플 수익형,Mapo-gu,92,4.79,66,True,5,0,0.077,3,2.0
3,프리미엄 비즈니스,Jung-gu,248,4.73,65,False,5,0,0.053,3,2.0
0,핫플 수익형,Mapo-gu,63,4.98,91,True,3,0,0.202,3,2.0
3,프리미엄 비즈니스,Jongno-gu,43,4.72,42,True,1,0,0.077,2,1.0
0,핫플 수익형,Mapo-gu,42,4.76,84,True,4,0,0.043,3,2.0
3,프리미엄 비즈니스,Yongsan-gu,172,4.97,92,True,5,0,0.132,3,2.0
0,핫플 수익형,Mapo-gu,67,4.94,45,True,1,0,0.084,4,3.0
3,프리미엄 비즈니스,Jongno-gu,35,4.89,10,True,1,0,0.042,2,2.0
0,핫플 수익형,Mapo-gu,20,4.95,91,True,1,0,0.055,6,2.0
3,프리미엄 비즈니스,Jongno-gu,141,4.75,9,True,1,0,0.181,1,1.0
3,프리미엄 비즈니스,Jung-gu,117,4.95,52,False,6,0,0.025,4,3.5
0,핫플 수익형,Mapo-gu,40,4.98,37,False,1,0,0.062,3,2.0
2,가성비 신흥형,Seodaemun-gu,88,5.0,172,True,3,0,0.022,3,1.0
