,ttm_revpar
15323,10891.7
9581,34972.5
4351,71880.6
14333,14295.8
17036,5946.8
3939,76044.2
8579,40645.9
6357,54188.1
11567,25142.9
3042,87830.9
3788,77773.3
1097,144462.0
2837,91101.1
6878,50997.8
430,215551.6
10108,32061.6
7439,47479.1
4548,69900.0
5817,58570.6
9068,37811.8
2755,92782.3
8708,39851.4
8312,42392.0
409,220208.0
8469,41410.5
1627,121016.8
3962,75785.9
6927,50660.1
8689,39954.4
7480,47220.7
12976,19394.1
7752,45633.0
9550,35090.3
11971,23509.4
3683,78884.7
958,151718.9
3045,87802.2
5332,62441.7
2926,89895.8
15649,9825.9
13004,22812.4
10611,29587.7
14954,12084.2
6774,51687.0
8495,41212.9
11139,27153.1
9246,44984.3
7669,46076.5
1714,117792.6
12620,20696.2
3667,79076.4
1439,128327.8
12920,19629.8
8916,38699.1
828,161239.3
3736,78277.0
10119,32023.3
5461,61270.0
18473,2581.8
12098,22971.2
3905,76397.0
8702,39905.4
410,220037.7
1301,134136.9
12943,19558.6
3221,85342.9
18744,2749.0
5710,59313.7
1104,143651.8
18534,2436.1
73,394666.5
3163,86304.6
3881,76734.9
12115,22918.7
10945,28033.0
7196,48932.2
291,254017.6
5816,58582.5
7809,45298.5
12374,21774.0
5476,61174.2
2121,106750.1
4875,66876.3
1827,114401.7
16085,8480.2
12980,19387.7
8665,40111.3
4005,75257.8
318,247733.6
5127,64433.2
3572,80330.5
15785,9354.3
16051,12243.8
1851,113691.4
4913,66553.8
3083,87437.3
144,327218.9
15307,10940.2
5542,60682.5
8701,39908.4
11691,24688.3
8995,38225.6
8755,39574.8
17204,5488.4
12947,19531.6
8157,43300.5
1856,113561.8
9265,36715.8
85,374940.1
3785,77818.1
1233,137805.8
3849,77046.9
4925,66337.7
15031,11839.2
10409,30579.0
13532,17312.4
6364,54135.7
15730,9557.5
600,184832.7
6470,53538.7
17386,5049.3
18665,2178.9
8634,40304.1
3745,78212.7
8856,70855.0
18048,3481.9
16704,6773.9
6156,55782.8
61,414324.7
5214,63588.1
5843,58329.3
10745,29035.8
11394,61244.2
9574,35002.6
14978,11992.6
13802,16349.6
5207,63634.8
4609,69268.0
7111,49483.7
19440,958.6
14027,15450.6
7468,47288.3
12368,21806.7
7033,49950.6
6705,52086.7
967,151206.8
475,205640.0
1532,124843.2
2329,101171.9
16573,7113.2
5698,59376.5
3596,79953.9
1498,125944.5
8447,41541.9
4650,68943.7
2962,89389.0
4623,69112.7
6877,51003.6
13278,18232.6
9410,63576.2
4520,70150.9
4427,71026.2
12482,21221.4
4839,67253.1
9725,34176.3
9698,34371.7
9966,42360.8
4485,70445.8
17634,4421.8
10615,29576.7
14171,14952.1
5285,62876.4
12742,20262.6
18500,2519.7
10530,29995.4
127,336236.1
6121,56067.8
4742,68077.4
18162,3234.8
3693,78792.5
1278,135270.9
7432,47513.3
4466,70630.5
10548,29895.1
12679,20472.2
6794,51553.3
12308,22024.0
7143,49257.0
275,258400.6
16756,6655.4
11155,67249.4
1286,134886.8
8653,40175.2
5028,65283.7
3179,85991.8
7770,45546.0
1925,111669.4
15567,10031.6
12507,21136.9
9149,37333.3
14510,13657.7
18707,2125.8
13299,18135.5
14263,14610.1
7058,49803.4
2887,90552.4
722,171303.4
11190,26936.9
3041,87854.2
6624,52616.2
